timestamp,Infrared to Red Signal Ratio
11/21/25 12:14:18,0
11/21/25 12:15:18,0
11/21/25 17:48:41,0
11/21/25 17:49:41,0
11/21/25 17:50:41,0
11/21/25 17:51:41,-2
11/21/25 17:52:41,9
11/21/25 17:53:41,-79
11/21/25 17:54:41,15
11/21/25 17:55:41,0
11/21/25 17:56:41,-1
11/21/25 17:57:41,-13
11/21/25 17:58:41,0
11/21/25 17:59:41,6
11/21/25 18:00:41,-53
11/21/25 18:01:41,8
11/21/25 18:02:41,0
11/21/25 18:03:41,-38
11/21/25 18:04:41,0
11/21/25 18:05:41,0
11/21/25 18:06:41,0
11/21/25 18:07:41,14
11/21/25 18:08:41,-9
11/21/25 18:09:41,10
11/21/25 18:10:41,0
11/21/25 18:11:41,-21
11/21/25 18:12:41,-10
11/21/25 18:13:41,45
11/21/25 18:14:41,47
11/21/25 18:15:41,-16
11/21/25 18:16:41,-21
11/21/25 18:17:41,0
11/21/25 18:18:41,-6
11/21/25 18:19:41,-20
11/21/25 18:20:41,-2
11/21/25 18:21:41,-10
11/21/25 18:22:41,0
11/21/25 18:23:41,8
11/21/25 18:24:41,-4
11/21/25 18:25:41,-12
11/21/25 18:26:41,0
11/21/25 18:27:41,-1
11/21/25 18:28:41,4
11/21/25 18:29:41,9
11/21/25 18:30:41,33
11/21/25 18:31:41,0
11/21/25 18:32:41,36
11/21/25 18:33:41,0
11/21/25 18:34:41,0
11/21/25 18:35:41,4
11/21/25 18:36:41,13
11/21/25 18:37:41,0
11/21/25 18:38:41,0
11/21/25 18:39:41,8
11/21/25 18:40:41,0
11/21/25 18:41:41,-59
11/21/25 18:42:41,0
