timestamp,pid,x,y,z,device_serial,device_number,entry_time
1553843697000.0000000000,31,-56.0000000000,6.0000000000,31.0000000000,A013E1,1,1553843697000
1553843697031.2500000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697062.5000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697093.7500000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697125.0000000000,31,-55.0000000000,7.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697156.2500000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697187.5000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697218.7500000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697250.0000000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697281.2500000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697312.5000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697343.7500000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697375.0000000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697406.2500000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697437.5000000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697468.7500000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697500.0000000000,31,-55.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697531.2500000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697562.5000000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697593.7500000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697625.0000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697656.2500000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697687.5000000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697718.7500000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697750.0000000000,31,-55.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697781.2500000000,31,-55.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697812.5000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697843.7500000000,31,-57.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697875.0000000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697906.2500000000,31,-55.0000000000,7.0000000000,30.0000000000,A013E1,1,1553843697000
1553843697937.5000000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843697968.7500000000,31,-56.0000000000,7.0000000000,29.0000000000,A013E1,1,1553843697000
1553843698000.0000000000,31,-56.0000000000,7.0000000000,28.0000000000,A013E1,1,1553843697000
1553843698031.2500000000,31,-56.0000000000,7.0000000000,30.0000000000,A013E1,1,1553843697000
1553843698062.5000000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843698093.7500000000,31,-57.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843698125.0000000000,31,-56.0000000000,6.0000000000,29.0000000000,A013E1,1,1553843697000
1553843698156.2500000000,31,-55.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843698187.5000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843698218.7500000000,31,-57.0000000000,6.0000000000,28.0000000000,A013E1,1,1553843697000
1553843698250.0000000000,31,-56.0000000000,6.0000000000,30.0000000000,A013E1,1,1553843697000
1553843698281.2500000000,31,-54.0000000000,7.0000000000,30.0000000000,A013E1,1,1553843697000
